coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
sanTotal,-0.010475695759795015,0.14868250588386647,0.15112611214468244,0.06931757597102729,0.9447368,15,PSE
DPSIRRESISTANCE,-0.2319377336043096,0.3401931057526918,0.34139058286783996,0.679391129233632,0.4968901,15,PSE
DPSIRDRI,0.10483940951058893,0.1915125494751239,0.19403501908660958,0.5403117952836789,0.588982,15,PSE
vacTotal,0.05897846632618434,0.1307082743874125,0.1333746908481584,0.4422013348344245,0.6583435,15,PSE
x0008,0.12140715005701705,0.1231756908884383,0.12543410908077718,0.9678958215331458,0.3330964,15,PSE
gini,0.291787389166764,0.17650928452130615,0.17881640227072568,1.6317708300886276,0.1027278,15,PSE
DPSIRRESISTANCE:workTotal,1.7282834789253103,0.4581605182085566,0.4680956485732578,3.6921588230804305,2.224e-4,15,PSE
DPSIRDRI:workTotal,0.6824650493099154,0.5541672471997524,0.5661842666197254,1.2053762168002617,0.2280581,15,PSE
(Intercept),0,0,0,NA,NA,16,DP
DPSIRUSE,1.1690435712606897,0.7569494718739983,0.7601736648856733,1.5378638135754263,0.1240819,16,DP
MonitoringandSurveillance,-0.1515571018472864,0.18479676823439115,0.18701326714484842,0.8104082890006945,0.4177056,16,DP
DPSIRUSE:MonitoringandSurveillance,-1.2090325401433546,0.39962123313317904,0.40952939723887366,2.952248479095483,0.0031547,16,DP
meantmpAreaPop,-0.00458379883182375,0.16463704823561034,0.16708062821470873,0.02743465164575088,0.9781131,16,DP
DPSIRUSE:meantmpAreaPop,0.8970299284655675,0.21663130531648905,0.22200243764266173,4.040630985815748,5.33e-5,16,DP
workTotal,0.08350147207249667,0.16481630568164293,0.16776686620465012,0.49772326301093056,0.6186791,16,DP
DPSIRUSE:workTotal,-1.2443271771372941,0.36574722439192026,0.37481552011801283,3.3198389883788977,9.007e-4,16,DP
infTotal,-0.0674135800921399,0.10597564357607009,0.10860319181600149,0.6207329542059301,0.5347753,16,DP
RESPONSE,-0.15365816644572028,0.1756598449583134,0.17787289667121006,0.8638649806763443,0.3876621,16,DP
sanTotal,-0.024197950248072586,0.10473198751489021,0.1073287006857023,0.22545647243911987,0.8216242,16,DP
vacTotal,0.08445098598979459,0.10356884414037,0.10613671846460018,0.7956811479710629,0.4262174,16,DP
AwarenessandEducation,-0.14488201779739507,0.16531656120500826,0.16754629403443963,0.8647282748469157,0.3871879,16,DP
x0008,0.046876835225793716,0.13308686903732034,0.13638660996548918,0.34370555318924106,0.7310677,16,DP
(Intercept),0,0,0,NA,NA,17,PS
meantmpAreaPop,0.4964391028342661,0.15575838871497005,0.15929677939008502,3.1164415547824036,0.0018305,17,PS
MonitoringandSurveillance,-0.39376181415496364,0.17359726722344437,0.17745664651510154,2.218918377461024,0.0264923,17,PS
infTotal,-0.12806566662970234,0.15525024031469167,0.1591082703773421,0.8048963534452425,0.4208795,17,PS
DPSIRRESISTANCE,-0.5409905713788214,0.715545603678481,0.7184324803035472,0.7530151910033992,0.4514408,17,PS
workTotal,0.056868399578649864,0.34339989183433683,0.34574845441776236,0.16447911437352858,0.869354,17,PS
DPSIRRESISTANCE:workTotal,1.7507306580842101,0.4976238241379438,0.5120267985559004,3.419216851582573,6.28e-4,17,PS
General,-0.22746704947752475,0.17621671372466738,0.18032254354604044,1.2614454355200866,0.2071484,17,PS
sanTotal,-0.054294879419532496,0.1586952458356787,0.16265384263694896,0.3338063124688743,0.7385257,17,PS
RESPONSE,-0.1075577238271944,0.2434432909412004,0.24719365197779067,0.4351152344189568,0.6634788,17,PS
vacTotal,0.10543524081087086,0.1434586825902431,0.1474901360989102,0.714862997618794,0.4746937,17,PS
AwarenessandEducation,-0.13438736297202408,0.18347839413008687,0.1872235549545354,0.7177908944451896,0.4728862,17,PS
gini,0.32961068982814723,0.17552838620799197,0.17920293139984603,1.8393152793505612,0.0658688,17,PS
DPSIRRESISTANCE:infTotal,-0.15426463202756938,0.2131602561865595,0.21932985974623356,0.7033453274718491,0.4818406,17,PS
x0008,0.0628380225577998,0.21379247150019495,0.2172803582046486,0.28920249891439753,0.7724264,17,PS
DPSIRRESISTANCE:MonitoringandSurveillance,0.684147399629136,0.7345071825461853,0.7557663900978829,0.9052366029938547,0.3653401,17,PS
(Intercept),0,0,0,NA,NA,18,SE
